"会社名","仕事内容","求めている人材","職場環境","勤務地","給与","勤務時間","休日・休暇","待遇・福利厚生","試用期間","その他","仕事に関するPR","仕事の特徴"
"株式会社Antway","企業名 株式会社Ａｎｔｗａｙ 求人名 ★第二新卒歓迎★データエンジニア/アナリティクスエンジニア◎つくりおき.jp 仕事の内容 データエンジニア/アナリティクスエンジニアとして活躍いただきます。 ■dbtを用いたデータマートやデータウェアハウスの設計・構築・運用 ■各事業で必要なデータ信頼性の要件定義や監視の仕組み導入 ■データアナリストと協力してのデータ利活用推進 ■BIツールの利用ルール浸透や権限整備 ■分析における信頼性を獲得するための仕組み導入(metric layer/Data Observability/Data Catalogなど) 当社ではデータ基盤構築・データ活用推進を重要戦略に位置付けており、他事業部とも連携しながらプロジェクトを推進いただきます。 募集職種 ★第二新卒歓迎★データエンジニア/アナリティクスエンジニア◎つくりおき.jp","必要な経験・能力等 【必須】■SQLを用いたデータマートやデータウェアハウスの構築・運用経験 ■企画者・データアナリストと連携してのKPI定義・可視化経験 ※将来的には技術リード/マネージャーとして組織の推進を期待しています。 【当社紹介】■自社キッチンを設け,プロの調理人や栄養士が手作りした家庭料理を提供する,共働き世帯向けフード宅配ーサービス「つくりおき.jp」を提供しています。■2020年2月の営業開始以降,累計2,000万食以上を提供し,43都府県でサービスを展開。■「あらゆる家庭から義務をなくす」をミッションに掲げ,家庭内の義務の解消により,家族との時間を豊かにしたり,自己実現に取り組める社会を目指し,事業を展開しています。 学歴・資格 学歴：大学院 大学 語学力： 資格：","配属先情報 システムアーキテクト部への配属です。 【テックブログ】https://zenn.dev/p/antway","東京都千代田区神田駿河台1丁目8-11　東京YWCA会館8階 株式会社Antway 予定勤務地 東京都千代田区 勤務地 勤務地① 事業所名：本社 所在地：東京都 千代田区 神田駿河台1丁目8-11 東京YWCA会館8階 最寄駅：JR 中央線 御茶ノ水駅 徒歩4分、東京メトロ 千代田線 新御茶ノ水駅 徒歩4分 喫煙環境：屋内全面禁煙 備考：【勤務地の変更範囲】本社、全国の支社または在宅勤務【職務内容の変更範囲】当社が定める業務全般 転勤：無","月給55万円以上 想定年収 700万円～1,100万円 雇用形態 正社員 期間の定め：無 賃金形態 形態：月給制 備考：月給￥550,000～ 基本給￥475,758～ 固定残業代￥74,242～を含む/月 諸手当：通勤手当（会社規定に基づき支給）、残業手当（固定残業代制 超過分別途支給） 試用期間 有 期間：3ヶ月 備考：変更無","フレックスタイム制度 就業時間 （1日あたり所定労働時間08時間）フレックスタイム制あり（コアタイム：12:00～16:00） 休憩：60分 残業：有 備考：固定残業代の相当時間：30.0時間/月","休日 休日：120日 （内訳） 完全週休二日制 土曜 日曜 その他（年末年始） 有給休暇：有（11日～）（試用期間終了後(3か月後)に有給休暇付与）","【保険制度】 ・雇用保険 ・労災保険 ・健康保険 ・厚生年金 制度、設備 リモートワーク可 （全従業員利用可） 副業OK （全従業員利用可） 自転車通勤可 （全従業員利用可） 服装自由 （全従業員利用可） 出産・育児支援制度 （全従業員利用可） その他制度 退職金：無 社会保険：健康保険 厚生年金保険 雇用保険 労災保険 寮・社宅：無 その他制度：産休・育休/慶弔休暇/傷病休暇 (生理休暇含む)","試用期間あり 試用期間3ヶ月。","採用企業情報・求人取扱いエージェント ■求人取扱いエージェント リクルートエージェント https://www.r-agent.com/ ■採用企業情報 事業内容：つくりおき料理デリバリーサービスの提供、他「あらゆる家庭から義務をなくす」サービスの開発・提供【つくりおき.jp】https://www.tsukurioki.jp/ 【note記事】https://note.com/antway/n/ncd96b580da71 設立：2018年11月 代表者：代表取締役 前島 恵 従業員数：297人 資本金：535百万円 株式公開：非公開 本社所在地：〒101-0062 東京都千代田区 神田駿河台１丁目８－１１ 東京ＹＷＣＡ会館８階 本社以外の事業所：■清澄白河キッチン ■赤坂キッチン ■池尻キッチン(テストキッチン/お客様向けの製造はなし) ■白山キッチン ■昭島キッチン(2025年秋開業予定/10月前後) その他備考・企業からのフリーコメント：■「あらゆる家庭から義務をなくす」というミッションのもと,家庭の中でも特に負担の大きい「家庭料理」に着目し,プロの調理人と栄養士が手づくりした料理を毎週ご自宅にお届けするサービス「つくりおき.jp」を運営しています。https://www.tsukurioki.jp/ ■2020年2月のサービスリリース以来,共働き世帯を中心に利用が広がり,2025年4月時点で累計提供食数は2,000万食を突破。2024年には売上高50億円を超え,前年比143%という急成長を遂げています。 ■現在は,フランチャイズビジネスの本格展開や資金調達,IPOを見据えた組織体制の強化を進めており,事業としても大きな転換点を迎えています。さらに,食の領域を超えた新しいサービスの開発や,将来的な海外展開も視野に入れて,挑戦の幅を広げています。 ■スピードが速く,複雑な環境だからこそ,得られる経験や成長機会は大きく,チーム一丸となって乗り越えていくやりがいも感じられます。このダイナミックなフェーズで,私たちのミッションに共感し,事業と組織の成長を一緒に進めてくださる仲間を募集します！ 参考：https://www.wantedly.com/companies/company_9312698/about 決算情報：決算期 売上高 非公開 経常利益 非公開 ※決済単位：単体","データエンジニア/アナリティクスエンジニアとして活躍いただきます。 ■dbtを用いたデータマートやデータウェアハウスの設計・構築・運用 ■各事業で必要なデータ信頼性の要件定義や監視の仕組み導入企業・求人の特色 【31億円超を資金調達/手作りお惣菜宅食ベンチャー】「つくりおき.jp」の累計提供食数は2020年2月の営業開始から2025年4月で2,000万食を突破/43都府県でサービスを展開！『あらゆる家庭から義務をなくす』に共感くださる仲間を募集！","業界未経験歓迎副業・WワークOK転勤なし完全週休2日制服装自由"
"株式会社サンリオ","企業名 株式会社サンリオ 求人名 【データエンジニア/データ活用推進プロジェクトマネージャー】契約社員 仕事の内容 当社のデータドリブンな意思決定を支えるため、社内外の多様なデータソースから必要なデータを収集・統合し、分析・活用可能な形で提供できる方を募集します。データ基盤の設計・構築をリードしていただきます。 【詳細】■ビジネス要件に基づいたデータ収集戦略の立案・実行■データウェアハウスやデータレイクの設計・構築■API、スクレイピング、ETLツール等を用いたデータ収集・連携■データ品質管理、メタデータ管理、データガバナンスの推進■アナリスト、ビジネス部門との連携 【業務テーマ例】■クラウド環境でのデータインフラ構築と分析に必要なデータの連携・加工■連携データの品質管理■新規技術の調査・評価・導入など 募集職種 【データエンジニア/データ活用推進プロジェクトマネージャー】契約社員","必要な経験・能力等 【必須】■DWH・データ基盤構築において、要件定義・設計・開発・テスト・運用までの一貫したシステム開発経験3年以上 ■BIツール（Tableau, Power BI, Looker等）の導入経験 ■データアーキテクトとしての知識・スキル（クラウド環境でのデータ基盤構築ができる/品質管理やデータガバナンスに関する知識等）■プロジェクト推進・リーダーシップ■事業・エンタメ業界・最新テクノロジーの動向への関心 【キャリアパス】データアーキテクトとしてのキャリアを積んだ上で、技術選定やアーキテクチャレビューの責任者、若手エンジニアの育成や技術戦略の策定等、活躍の場を広げていくことができます。 学歴・資格 学歴：大学院 大学 語学力： 資格：","配属先情報 データ・テクノロジー推進室 14名（2025年5月末時点）","東京都品川区大崎1-11-1ゲートシティ大崎（ウエストタワー14F） 株式会社サンリオ 予定勤務地 東京都品川区 勤務地 勤務地① 事業所名：本社 所在地：東京都 品川区 大崎1-11-1 ゲートシティ大崎（ウエストタワー14F） 最寄駅：JR 山手線 大崎駅 徒歩3分 喫煙環境：屋内禁煙（屋内喫煙可能場所あり） 備考： 転勤：無","月給83万3333円以上 想定年収 1,000万円～1,500万円 雇用形態 契約社員 期間の定め：有 賃金形態 形態：月給制 備考：月給￥833,333～ 基本給￥833,333～を含む/月 諸手当：通勤手当（会社規定に基づき支給） 試用期間 無","固定時間制 就業時間 09:30～18:00（1日あたり所定労働時間07時間30分） 休憩：60分 残業：有 備考：","休日 休日：120日 （内訳） 完全週休二日制 土曜 日曜 祝日 その他（） 有給休暇：（入社直後：入社時期により1日～10日付与）","【保険制度】 ・雇用保険 ・労災保険 ・健康保険 ・厚生年金 制度、設備 在宅勤務 （全従業員利用可） リモートワーク可 （全従業員利用可） その他制度 退職金：有 社会保険：健康保険 厚生年金保険 雇用保険 労災保険 寮・社宅：無 その他制度：■社員持株会制度","試用期間なし","採用企業情報・求人取扱いエージェント ■求人取扱いエージェント リクルートエージェント https://www.r-agent.com/ ■採用企業情報 事業内容：◆ソーシャル・コミュニケーション・ギフト商品の企画・販売 ◆著作権の許諾 ◆書籍・雑誌の編集・発行 ◆映画の製作・配給・興行 ◆ビデオソフトの製作・販売 ◆テーマパークの企画・運営/レストラン運営 ◆テーマパーク事業 設立：1960年08月 代表者：代表取締役社長 辻 朋邦 従業員数：785人 平均年齢：44.2歳 資本金：10,000百万円 株式公開：プライム市場 主な株主：日本マスタートラスト信託銀行 13.1％ 清川商事株式会社 8.3％ 光南商事株式会社 5.6％ 外資比率：14.3％ 本社所在地：〒141-8603 東京都品川区 大崎１－１１－１ ゲートシティ大崎ウエストタワー 本社以外の事業所：関西事業所:大阪市淀川区 関連会社：■株式会社サンリオエンターテイメント■株式会社サンリオファーイースト ■Sanrio,Inc.(米国) ■Sanrio G.m.b.H(ドイツ)■Sanrio上海(中国) 等 その他備考・企業からのフリーコメント：「ハローキティ」をはじめ、「マイメロディ」など、キャラクターに関する著作権等の知的所有権を多数持つ企業です。 事業内容は、『自社オリジナルギフト商品の企画販売』だけでなく、あらゆる産業・企業に自社キャラクターを貸与する『キャラクターライセンスビジネス』を海外でも積極展開しており、今やサンリオキャラクターは世界130か国以上で愛される存在となっています。アメリカ・ドイツ・ブラジル・中国・香港・台湾・韓国等に関連子会社があり、全世界に向けてサンリオのサービスを展開中。 また、関連子会社の（株）サンリオエンターテイメントが国内で2つのテーマパークを運営している事も特徴のひとつです。 企業理念は、「One World, Connecting Smiles.」というビジョンを胸に、一人一人の笑顔を作り出し、幸せの輪を広げていくことによって「みんななかよく」という企業理念の達成を目指しています。 「第二の創業」を迎え、既存ビジネスに閉じずサンリオの付加価値ともなる新しいビジネスへ、仲間と共に挑戦する刺激的な環境があります。 決算情報： 決算期2023/03 売上高72,624百万円 経常利益13,724百万円 決算期2024/03 売上高99,981百万円 経常利益28,265百万円 決算期2025/03（今期予測） 売上高144,904百万円 経常利益53,453百万円 ※決済単位：連結","当社のデータドリブンな意思決定を支えるため、社内外の多様なデータソースから必要なデータを収集・統合し、分析・活用可能な形で提供できる方を募集します。データ基盤の設計・構築をリードしていただきます。企業・求人の特色 ★創業63年、ハローキティ、マイメロディなどの自社IPを保有し、キャラクター商品の企画・販売等を手がける同社 ★自社サービスから得られる豊富なデータや外部のデータを活用し、日本を代表するエンターテイメント企業の業務を進化","業界未経験歓迎転勤なし退職金あり在宅OK完全週休2日制土日祝休み"
"パイオニア株式会社","企業名 パイオニア株式会社 求人名 【シニアデータアナリスト】在宅勤務可能/福利厚生◎/有給取得率90％以上 仕事の内容 データ分析スキルを活かすだけでなく、PdM・マーケ・CS・開発など多様なステークホルダーと連携し、共通認識の形成・課題の抽出・意思決定支援までを一気通貫でリードいただきます。 ■データドリブンな事業推進・意思決定の支援 仮説立案・仮説検証・提案/意思決定の支援 ■モニタリング環境とPDCAサイクルの構築 データ分析基盤の構築/ダッシュボード開発/施策単位のPDCAサイクルをサポート/全社的なデータ教育を通じて、全社的にデータ分析を行える人材を輩出する業務/データに基づいて、新規サービス・ビジネスを検討・創出する業務 募集職種 【シニアデータアナリスト】在宅勤務可能/福利厚生◎/有給取得率90％以上","必要な経験・能力等 【必須】■データ分析プロジェクトにおけるプロジェクトマネジメント（要件定義・合意形成・スコープ調整・人員配置など）の経験 ■GCP or AWSを用いた分析環境の構築経験 ■データ分析やダッシュボードなどをビジネスKPIに結びつける提案・実行の経験 ■弊社の求める人物像にマッチする方、行動指針に共感いただける方 【行動指針】■コミットメント：徹底的なアライメント形成を行い、オーナーシップを持ってやりきる ■有効性・効率：最短距離で、圧倒的なインパクトのあるアウトカムを生み出す ■進歩・進化：挑戦し続け、競争力と共創力を上げる 学歴・資格 学歴：大学院 大学 高専 短大 専修学校 高校 語学力： 資格：","配属先情報 Cross Technology Center(CTC） データインテリジェンス部 データドリブンコンサルティンググループ","東京都文京区東池袋1-18-1HarezaTower20F パイオニア株式会社 予定勤務地 東京都文京区 勤務地 勤務地① 事業所名：CTC 所在地：東京都 文京区 東池袋1-18-1 Hareza Tower 20F 最寄駅：JR 山手線 池袋駅 徒歩4分 喫煙環境：敷地内禁煙（屋外喫煙可能場所あり） 備考：※リモートワークメイン（週2回程度出社） 転勤：無","月給49万円以上 想定年収 800万円～1,000万円 雇用形態 正社員 期間の定め：無 賃金形態 形態：月給制 備考：月給￥490,000～ 基本給￥490,000～を含む/月 ■賞与実績:年2回（6月・12月） 諸手当：通勤手当（会社規定に基づき支給）、残業手当（残業時間に応じて別途支給） 試用期間 有 期間：3ヶ月 備考：変更無","フレックスタイム制度 就業時間 （1日あたり所定労働時間07時間45分）フレックスタイム制あり（コアタイム：10:00～15:00） 休憩：60分 残業：有 備考：","休日 休日：125日 （内訳） 完全週休二日制 土曜 日曜 祝日 その他（その他会社カレンダーによる） 有給休暇：有（22～25日）","【保険制度】 ・雇用保険 ・労災保険 ・健康保険 ・厚生年金 制度、設備 在宅勤務 （一部従業員利用可） リモートワーク可 （一部従業員利用可） 時短制度 （一部従業員利用可） 服装自由 （一部従業員利用可） 出産・育児支援制度 （一部従業員利用可） 研修支援制度 （全従業員利用可） 社員食堂・食事補助 （一部従業員利用可） 従業員専用駐車場あり （一部従業員利用可） その他制度 退職金：有 社会保険：健康保険 厚生年金保険 雇用保険 労災保険 寮・社宅：無","試用期間あり 試用期間3ヶ月。","採用企業情報・求人取扱いエージェント ■求人取扱いエージェント リクルートエージェント https://www.r-agent.com/ ■採用企業情報 事業内容：■商品・サービス：カーナビ、カーオーディオ等の車載機器、スマートフォン専用のカーナビアプリ「COCCHi」、法人向けクラウド型運行管理サービス「Vehicle Assist」等 設立：1947年05月 代表者：代表取締役 兼 社長執行役員 矢原 史朗 従業員数：7,655人 資本金：57,381百万円 株式公開：非公開 本社所在地：〒113-0021 東京都文京区 本駒込２－２８－８ 文京グリーンコート 本社以外の事業所：■川越事業所(埼玉県川越市) ■池袋オフィス(東京都文京区) 関連会社：■東北パイオニア株式会社/Pioneer North America, Inc./Pioneer Europe NV 他 その他備考・企業からのフリーコメント：2023年に企業の新たなミッション・ビジョン・バリューを策定し、創業以来掲げてきた企業理念「より多くの人と、感動を」を企業ミッションに、ありたい姿として「未来の移動体験を創ります －Creating the Future of Mobility Experiences－」を企業ビジョンに掲げ、さらなる企業価値の向上に取り組んでいます。 決算情報：決算期 売上高 非公開 経常利益 非公開 ※決済単位：連結","データ分析スキルを活かすだけでなく、PdM・マーケ・CS・開発など多様なステークホルダーと連携し、共通認識の形成・課題の抽出・意思決定支援までを一気通貫でリードいただきます。企業・求人の特色 ～1938年創業の名門メーカー「パイオニア」の挑戦。ビッグデータを活用し、新サービスを展開。長年培ってきたハード開発の強みを活かしつつ、”モノ（ハード）×コト（サービス）”を掛け合わせたSaaSビジネスを推進中～","業界未経験歓迎年間休日120日以上資格取得支援あり転勤なし時短勤務あり退職金あり在宅OK完全週休2日制土日祝休み服装自由"
"株式会社データ・エージェンシー","仕事内容 応募資格としてSQLの実務経験が必須です。 詳細は下記、「求める人材欄」を必ずご確認ください ＼アピールPOINT／ ―・―・―・☆・☆・☆・―・―・― ✨フルリモートワークで  全国どこからでも勤務可能◎ ✨Google Cloud特化型の  データエンジニアとしてスキルアップ！ ✨充実した研修制度と資格取得支援で  成長をバックアップ★ ✨年間休日125日で  ワークライフバランスを実現！ ✨前職給与保証で  安心のキャリアチェンジ！ ✨経験者の方に魅力的な給与体制◎ ―・―・―・☆・☆・☆・―・―・― ⭐GCPの知見を事業の核へ。 最上流で活躍するアーキテクト募集 ￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣ ✅GCPアーキテクト 前職給与保証、フルリモート、 最上流から事業拡大に貢献！ あなたのGCPスキルを、 拡大期の事業で最大限に活かしませんか？ 直取引の多様な案件で、 アーキテクトとして要件定義から 深く関われます。技術的裁量権の 大きい環境で、存分に力を 発揮してください。 フルリモート、前職給与保証で あなたの挑戦を最大限に評価します。 ⭐ 仕事内容 ￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣ ✅データ基盤の構築 クライアント社内に散在するデータを 整理・集約し、あらゆるビジネス活動の 土台となる「価値あるデータ資産」を 構築します。 ✅データの可視化と分析支援 複雑なデータを誰もが理解できる形に 可視化。勘や経験だけに頼らない、 データに基づいた意思決定を 力強くサポートします。 ✅機械学習による価値創造 予測や自動化を実現する MLモデルの構築からAPI化、 継続的に改善する運用フローの開発まで、 データ活用の可能性を広げます。 ✅外部サービスとのデータ連携 マーケティングに不可欠な MAやBIツールとデータ基盤を スムーズに連携。 施策に必要なデータを、 最適なタイミングで活用できる 環境を整えます。 ✅データ活用文化の醸成 「作って終わり」ではなく、 データ基盤を軸としたPDCAサイクルが 自走するチーム作りまで支援し、 組織全体のデータ活用力を高めます。 ⏩プロジェクト事例 ◆CASE 1： 「広告の”隠れた貢献度”を  可視化する分析基盤」 Google Cloudで高度な分析モデルを構築。 これまで評価困難だった広告の真の価値を 可視化し、クライアントの戦略的な 予算配分に貢献しました。 (大手上場会社様) ◆CASE 2： 「""分析に集中できる環境""を  創るダッシュボード開発」 GAと各種データを連携させた パフォーマンスダッシュボードを開発。 日々の集計作業を自動化し、 編集者が分析という本質的な業務に 集中できる環境を創出しました。 (大手メディア会社様) ⏩開発環境・業務範囲 言語:Java、Python、SQL、JavaScript GCP: CloudRun、BigQuery、Dataform、AutoML 連携サービス: Google Tag Manager、Google Analytics、Tableau、Looker Studio その他クラウドインフラ: Snowflake、AWS、Azure ⭐やりがい ￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣ ✅身に付くスキル・キャリアパス データ・エージェンシーは、 社員のキャリア形成を全面的に バックアップしています。 データエンジニアとして経験を積むことで、 以下の2つのキャリアパスが開かれます。 1. データコンサルタント 幅広い業界での知見を活かして お客様の課題解決に取り組む 2. クラウドスペシャリスト 最新技術を磨きGoogle Cloudサービスの 専門家として活躍する 【社員が取得している資格】 Professional Data Engineer : 12人 Professional Cloud Architect : 4人 Professional Cloud Security Engineer : 2人 Professional ML Engineer : 2人 ※2025年7月現在 ⭐過去の採用事例 ￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣ 観光会社向けクルーズ予約システムや 自動車メーカー向けワークフロー 管理システムの開発経験者、 銀行出向後に投資家・個人事業主として アナリスト兼Pythonプログラマーで 企業分析や業務効率化アプリ開発に 従事した方など、 多彩なキャリアを持つ方々を 採用してきました。 ⭐入社後・働きやすさ ￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣ ✨パフォーマンスを最大化する  フルリモート環境✨ ┗ 全社員フルリモートだからこそ、 最高のパフォーマンスを発揮できる 環境づくりに注力しています。 ⏩セキュアかつ快適な開発環境 AWSのVDI(仮想デスクトップ環境)を完備。 場所を選ばず、セキュリティの保たれた 環境で安心して開発業務に集中できます。 ⏩円滑なコミュニケーション バーチャルオフィス「GatherTown」や 雑談チャンネルを導入。 技術的な情報共有はもちろん、 日々の気軽な相談や雑談も 活発に行われています。 ⏩風通しの良い組織カルチャー 社員と役員の距離が近く、 意見や提案がスピーディに 反映される風土です。 過去には福利厚生に関する社員の提案が 数日で導入された実績もあります。 ⏩アーキテクトとしての  成長を加速させる支援体制 あなたの挑戦心とリーダーシップに応え、 さらなるキャリアアップを 全面的にサポートします。 ⏩戦略的なキャリア構築 定期的な1on1を通じて、 現状の課題や今後のビジョンを共有。 アーキテクトとして、 また技術リーダーとして どう成長していくか、 戦略的なキャリア構築を共に考えます。 ⏩最先端を学び続ける機会 Google Cloudを中心とした 最新技術への挑戦を推奨。 資格取得支援や定期的な研修制度を 活用し、常に市場価値の高いスキルを 追求できます。 ⭐社員インタビュー ￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣ https://note.com/dataagency ⭐当社について ￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣ 株式会社データ・エージェンシーは、 Google Cloudに特化したデータ戦略の 提案、開発、運用、活用を一貫して 提供するSES企業です。 AI技術への注目が拡大する中、 データエンジニアの需要が急増しています。 今回は事業拡大に伴う増員のため、 全国の優秀なIT人材を募集し、先端技術で 未来を切り拓く仲間を求めています。 当社では全社員がフルリモートで働ける 環境を整えており、住む場所に 左右されることなく 安心してキャリアを築いていただけます。","求めている人材 ⭐必須条件 ・‥…━━━━━━━…‥・ ✅学歴不問◎ ✅SQLを用いた  データ抽出・加工の実務経験 ✅クラウド環境での  データ基盤構築・運用経験 ※AWS, Azure, GCPいずれかの  ご経験を想定しています。 ✅データパイプラインの  アーキテクチャ設計・構築経験 ※顧客へのヒアリングから要件を定義し、 設計・構築まで一貫して 手掛けたご経験を求めています。 ✅プロジェクトリーダーや  プロジェクトチームの  マネジメント経験 ※アーキテクトとして  技術選定や設計の主導的役割を  担った経験が重要です。 ⭐歓迎条件 ・‥…━━━━━━━…‥・ ✅GCPを用いたデータ基盤の  構築・運用経験（1年以上） ⭐資格保有者歓迎 ・‥…━━━━━━━…‥・ ✅Google Cloud認定資格 （Professional Data Engineer、  Professional Cloud Architect、 Professional ML Engineer） ✅AWS認定資格 （AWS Certified Data Analytics、  AWS Certified Machine Learning） ✅Azure Data Engineer Associate  (DP-203) ✅Python 3 エンジニア認定データ分析試験 ⭐求める人物像 ・‥…━━━━━━━…‥・ ✅データ分析や可視化に興味がある方 ✅新しい技術を学ぶことに意欲的な方 ✅リモートワークで自律的に  業務を進められる方 ✅チームでのコミュニケーションを  大切にできる方 ✅アーキテクトとして技術選定や  設計を主導できる方 変化の速い技術の世界で、 学び続ける探究心。 フルリモート環境で、 自律的に業務を推進するプロ意識。 そして、チームでの協働を大切にし、 互いに高め合う姿勢。 こうしたマインドをお持ちの方の ご応募を心よりお待ちしています。","職場環境 北海道から九州まで 東京近郊以外の社員も 多く所属しています。 【従業員構成】 平均年齢36歳 男女比は男性6：女性1","フルリモート 株式会社データ・エージェンシー","月給40万円～66万円 給与詳細 基本給：月給 40万円 〜 66万円 固定残業代：なし 【一律手当】 全員に一律で支払われる通勤・皆勤・家族手当金額：なし 全員に一律で支払われるその他手当金額：なし ⭐月給40万円～66万円+諸手当 ※給与額は、スキル・経験によって  決定します ※前職給与以上を保証します！ ※残業代は全額支給 ⭐手当 ・‥…━━━━━━━…‥・ ✅交通費支給(上限2万円/月) ✅リモートワーク手当(5,000円/月) ✅役職手当 ✅資格手当 ✨昇給あり・賞与あり ⏩昇給年1回(1月) 平均昇給年額47万3,965円 (2023年度から2024年度の実績) ⏩賞与年1回(会社の業績により判断) 2024年2月は賞与支給実績あり 2025年2月は支給予定なし 【給与例】 給与例 ・35歳(入社2年目)/年収630万円  (月給45万円) ・43歳(入社4年目)/年収840万円  (月給60万円) ※残業・諸手当は含んでおりません ※上記はあくまでも  過去の実績となります","フレックスタイム制度 勤務時間詳細 実働時間：1日あたり8時間 平均勤務日数：1ヶ月あたり20日 フレックスタイム制を導入しています。 ⏰勤務時間 ✅始業時刻  7:00～11:00の間で選択可能 ✅終業時刻  16:00～20:00の間で選択可能 ✅標準労働時間：8時間 ✅コアタイム：11:00～16:00 基本的にフルリモートワークのため、 自宅での勤務が主となります。 ⏩残業について ✅8割以上のエンジニアが  残業なしで働いています ✅残業している方でも月10時間程度◎ ✅残業代は全額支給されます ⏩フルリモート勤務 フルリモート勤務のため、 ご自宅が勤務地となります。 通勤義務もございません。","休日休暇 ・年間休日125日(2025年度) ・完全週休2日制(土日祝休み) ・夏期休暇 ・年末年始休暇 ・有給休暇 ・育児休暇制度 ・介護休暇制度 過去に男性エンジニア1名が 育休を取得した実績があります。 ※取得率100%","【保険制度】 ・雇用保険 ・労災保険 ・健康保険 ・厚生年金 待遇・福利厚生 【福利厚生】 ✅リモートワーク手当(5,000円/月) ✅役職手当 ✅資格手当 ✅資格取得支援制度あり ✅セミナー参加補助、  書籍購入補助あり(12万円/年) ✅昇給あり(年1回/1月) ※平均昇給年額47万3,965円  (2023年度から2024年度の実績) ✅賞与あり  (年1回/会社の業績により判断) ✅交通費支給(上限2万円/月) ✅フレックスタイム制  (コアタイム/11:00～16:00) ✅WワークOK、副業OK  (勤続2年目以降、  業務に支障が無い範囲) ✅健康診断 ✅敷地内禁煙","試用期間あり 試用・研修期間：3ヶ月 試用・研修期間の条件：本採用と同じ","","SQL実務経験必須⭐フルリモート⭐前職給与保証⭐年休125日","業界未経験歓迎ランチタイム副業・WワークOK年間休日120日以上学歴不問月平均残業時間20時間以内転勤なし経験者歓迎有資格者歓迎在宅OKブランクOK完全週休2日制交通費支給長期歓迎資格取得手当あり長期休暇あり土日祝休み第二新卒歓迎原則定時退社固定給35万円以上"
